"filename", "language", "Markdown", "JSON", "JavaScript", "XML", "SCSS", "PostCSS", "TypeScript", "HTML", "comment", "blank", "total"
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 18, 2, 1, 21
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\main.js", "JavaScript", 0, 0, 20, 0, 0, 0, 0, 0, 6, 6, 32
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\manifest.json", "JSON", 0, 60, 0, 0, 0, 0, 0, 0, 8, 1, 69
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\pages.json", "JSON", 0, 168, 0, 0, 0, 0, 0, 0, 0, 1, 169
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\pages\auth\login\index.scss", "SCSS", 0, 0, 0, 0, 201, 0, 0, 0, 35, 18, 254
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\pages\auth\register\index.scss", "SCSS", 0, 0, 0, 0, 100, 0, 0, 0, 0, 15, 115
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\pages\home\index.scss", "SCSS", 0, 0, 0, 0, 101, 0, 0, 0, 1, 16, 118
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\pages\settings\index.scss", "SCSS", 0, 0, 0, 0, 100, 0, 0, 0, 0, 19, 119
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\static\customicons.css", "PostCSS", 0, 0, 0, 0, 0, 16, 0, 0, 0, 5, 21
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni-config.json", "JSON", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 13
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni.scss", "SCSS", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-badge\changelog.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-badge\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 85
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-badge\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-breadcrumb\changelog.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-breadcrumb\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-breadcrumb\readme.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 20, 66
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\changelog.md", "Markdown", 28, 0, 0, 0, 0, 0, 0, 0, 0, 1, 29
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\calendar.js", "JavaScript", 0, 0, 324, 0, 0, 0, 0, 0, 184, 39, 547
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\i18n\en.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\i18n\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\i18n\zh-Hans.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\i18n\zh-Hant.json", "JSON", 0, 12, 0, 0, 0, 0, 0, 0, 0, 1, 13
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\components\uni-calendar\util.js", "JavaScript", 0, 0, 255, 0, 0, 0, 0, 0, 83, 23, 361
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\package.json", "JSON", 0, 85, 0, 0, 0, 0, 0, 0, 0, 0, 85
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-calendar\readme.md", "Markdown", 73, 0, 0, 0, 0, 0, 0, 0, 0, 31, 104
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-card\changelog.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-card\package.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 0, 0, 1, 91
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-card\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-collapse\changelog.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-collapse\package.json", "JSON", 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-collapse\readme.md", "Markdown", 7, 0, 0, 0, 0, 0, 0, 0, 0, 5, 12
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-combox\changelog.md", "Markdown", 15, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-combox\package.json", "JSON", 0, 90, 0, 0, 0, 0, 0, 0, 0, 0, 90
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-combox\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\changelog.md", "Markdown", 26, 0, 0, 0, 0, 0, 0, 0, 0, 1, 27
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\components\uni-countdown\i18n\en.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\components\uni-countdown\i18n\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\components\uni-countdown\i18n\zh-Hans.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\components\uni-countdown\i18n\zh-Hant.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 0, 83
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-countdown\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-checkbox\changelog.md", "Markdown", 49, 0, 0, 0, 0, 0, 0, 0, 0, 1, 50
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-checkbox\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-checkbox\readme.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 7, 18
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\changelog.md", "Markdown", 77, 0, 0, 0, 0, 0, 0, 0, 0, 1, 78
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\components\uni-data-picker\keypress.js", "JavaScript", 0, 0, 42, 0, 0, 0, 0, 0, 3, 1, 46
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\components\uni-data-pickerview\uni-data-picker.js", "JavaScript", 0, 0, 540, 0, 0, 0, 0, 0, 10, 73, 623
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\components\uni-data-pickerview\uni-data-pickerview.css", "PostCSS", 0, 0, 0, 0, 0, 64, 0, 0, 0, 13, 77
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\package.json", "JSON", 0, 91, 0, 0, 0, 0, 0, 0, 0, 1, 92
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-picker\readme.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 9, 22
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-select\changelog.md", "Markdown", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 40
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-select\package.json", "JSON", 0, 86, 0, 0, 0, 0, 0, 0, 0, 1, 87
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-data-select\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-dateformat\changelog.md", "Markdown", 10, 0, 0, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-dateformat\components\uni-dateformat\date-format.js", "JavaScript", 0, 0, 191, 0, 0, 0, 0, 0, 3, 7, 201
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-dateformat\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 88
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-dateformat\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\changelog.md", "Markdown", 160, 0, 0, 0, 0, 0, 0, 0, 0, 1, 161
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\en.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 1, 23
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\zh-Hans.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\components\uni-datetime-picker\i18n\zh-Hant.json", "JSON", 0, 22, 0, 0, 0, 0, 0, 0, 0, 0, 22
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\components\uni-datetime-picker\util.js", "JavaScript", 0, 0, 319, 0, 0, 0, 0, 0, 60, 43, 422
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-datetime-picker\readme.md", "Markdown", 11, 0, 0, 0, 0, 0, 0, 0, 0, 10, 21
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\changelog.md", "Markdown", 13, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\components\uni-drawer\keypress.js", "JavaScript", 0, 0, 39, 0, 0, 0, 0, 0, 6, 1, 46
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\package.json", "JSON", 0, 87, 0, 0, 0, 0, 0, 0, 0, 0, 87
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-drawer\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\changelog.md", "Markdown", 74, 0, 0, 0, 0, 0, 0, 0, 0, 40, 114
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\components\uni-easyinput\common.js", "JavaScript", 0, 0, 41, 0, 0, 0, 0, 0, 12, 2, 55
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 0, 88
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-easyinput\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\changelog.md", "Markdown", 23, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\package.json", "JSON", 0, 84, 0, 0, 0, 0, 0, 0, 0, 1, 85
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fab\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 3, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\changelog.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 0, 1, 20
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\en.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hans.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\components\uni-fav\i18n\zh-Hant.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\package.json", "JSON", 0, 89, 0, 0, 0, 0, 0, 0, 0, 1, 90
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-fav\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\changelog.md", "Markdown", 75, 0, 0, 0, 0, 0, 0, 0, 0, 1, 76
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\components\uni-file-picker\choose-and-upload-file.js", "JavaScript", 0, 0, 261, 0, 0, 0, 0, 0, 10, 17, 288
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\components\uni-file-picker\utils.js", "JavaScript", 0, 0, 86, 0, 0, 0, 0, 0, 19, 6, 111
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\package.json", "JSON", 0, 83, 0, 0, 0, 0, 0, 0, 0, 1, 84
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-file-picker\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\changelog.md", "Markdown", 94, 0, 0, 0, 0, 0, 0, 0, 0, 1, 95
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\components\uni-forms\utils.js", "JavaScript", 0, 0, 162, 0, 0, 0, 0, 0, 111, 21, 294
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\components\uni-forms\validate.js", "JavaScript", 0, 0, 421, 0, 0, 0, 0, 0, 1, 65, 487
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-forms\readme.md", "Markdown", 12, 0, 0, 0, 0, 0, 0, 0, 0, 11, 23
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\changelog.md", "Markdown", 17, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\en.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\index.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 9
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hans.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\components\uni-goods-nav\i18n\zh-Hant.json", "JSON", 0, 6, 0, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\package.json", "JSON", 0, 88, 0, 0, 0, 0, 0, 0, 0, 1, 89
"c:\Users\李子林\Desktop\aigc\项目\emocloud1\uni_modules\uni-goods-nav\readme.md", "Markdown", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10
